Етаж,Апартамент,Застроена,Идеални,Обща,Вид,Изложение,Статус
1,А 101,57.46,8.22,65.68,2-стаен,Юг,Свободен
1,А 102,97.74,14.00,111.74,3-стаен,Юг/Изток,Свободен
1,А 103,93.78,13.46,107.24,3-стаен,Изток,Свободен
1,А 104,59.36,8.52,67.88,2-стаен,Изток,Свободен
1,А 105,59.36,8.52,67.88,2-стаен,Север,Свободен
1,А 106,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
1,А 107,61.11,8.77,69.88,2-стаен,Запад,Свободен
1,А 108,61.11,8.77,69.88,2-стаен,Запад,Свободен
1,А 109,61.11,8.77,69.88,2-стаен,Запад,Свободен
1,А 110,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
1,А 111,51.88,7.43,59.31,2-стаен,Юг,Свободен
1,А 112,38.46,5.52,43.98,Ателие,Юг,Свободен
2,А 201,54.36,7.82,62.18,2-стаен,Юг,Свободен
2,А 202,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
2,А 203,93.78,13.46,107.24,3-стаен,Изток,Свободен
2,А 204,59.36,8.52,67.88,2-стаен,Изток,Свободен
2,А 205,59.36,8.52,67.88,2-стаен,Север,Свободен
2,А 206,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
2,А 207,61.11,8.77,69.88,2-стаен,Запад,Свободен
2,А 208,61.11,8.77,69.88,2-стаен,Запад,Свободен
2,А 209,61.11,8.77,69.88,2-стаен,Запад,Свободен
2,А 210,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
2,А 211,55.54,7.97,63.51,2-стаен,Юг,Свободен
2,А 212,38.46,5.52,43.98,Ателие,Юг,Свободен
3,А 301,54.36,7.82,62.18,2-стаен,Юг,Свободен
3,А 302,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
3,А 303,93.78,13.46,107.24,3-стаен,Изток,Продадени
3,А 304,59.36,8.52,67.88,2-стаен,Изток,Свободен
3,А 305,59.36,8.52,67.88,2-стаен,Север,Свободен
3,А 306,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
3,А 307,61.11,8.77,69.88,2-стаен,Запад,Свободен
3,А 308,61.11,8.77,69.88,2-стаен,Запад,Свободен
3,А 309,61.11,8.77,69.88,2-стаен,Запад,Продадени
3,А 310,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
3,А 311,55.54,7.97,63.51,2-стаен,Юг,Свободен
3,А 312,38.46,5.52,43.98,Ателие,Юг,Свободен
4,А 401,54.38,7.80,62.18,2-стаен,Юг,Свободен
4,А 402,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
4,А 403,93.78,13.46,107.24,3-стаен,Изток,Свободен
4,А 404,59.36,8.52,67.88,2-стаен,Изток,Свободен
4,А 405,59.36,8.52,67.88,2-стаен,Север,Свободен
4,А 406,100.20,14.38,114.58,3-стаен,Север/Запад,Резервиран
4,А 407,61.11,8.77,69.88,2-стаен,Запад,Свободен
4,А 408,61.11,8.77,69.88,2-стаен,Запад,Свободен
4,А 409,61.11,8.77,69.88,2-стаен,Запад,Продадени
4,А 410,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
4,А 411,55.54,7.97,63.51,2-стаен,Юг,Свободен
4,А 412,38.46,5.52,43.98,Ателие,Юг,Свободен
5,А 501,54.38,7.80,62.18,2-стаен,Юг,Свободен
5,А 502,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
5,А 503,93.78,13.46,107.24,3-стаен,Изток,Свободен
5,А 504,59.36,8.52,67.88,2-стаен,Изток,Свободен
5,А 505,59.36,8.52,67.88,2-стаен,Север,Свободен
5,А 506,100.20,14.38,114.58,3-стаен,Север/Запад,Резервиран
5,А 507,61.11,8.77,69.88,2-стаен,Запад,Свободен
5,А 508,61.11,8.77,69.88,2-стаен,Запад,Свободен
5,А 509,61.11,8.77,69.88,2-стаен,Запад,Продадени
5,А 510,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
5,А 511,55.54,7.97,63.51,2-стаен,Юг,Свободен
5,А 512,38.46,5.52,43.98,Ателие,Юг,Свободен
6,А 601,54.38,7.80,62.18,2-стаен,Юг,Свободен
6,А 602,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
6,А 603,93.78,13.46,107.24,3-стаен,Изток,Свободен
6,А 604,59.36,8.52,67.88,2-стаен,Изток,Свободен
6,А 605,59.36,8.52,67.88,2-стаен,Север,Свободен
6,А 606,100.20,14.38,114.58,3-стаен,Север/Запад,Резервиран
6,А 607,61.11,8.77,69.88,2-стаен,Запад,Резервиран
6,А 608,61.11,8.77,69.88,2-стаен,Запад,Резервиран
6,А 609,61.11,8.77,69.88,2-стаен,Запад,Резервиран
6,А 610,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
6,А 611,55.54,7.97,63.51,2-стаен,Юг,Свободен
6,А 612,38.46,5.52,43.98,Ателие,Юг,Свободен
7,А 701,54.38,7.80,62.18,2-стаен,Юг,Свободен
7,А 702,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
7,А 703,93.78,13.46,107.24,3-стаен,Изток,Свободен
7,А 704,59.36,8.52,67.88,2-стаен,Изток,Продадени
7,А 705,59.36,8.52,67.88,2-стаен,Север,Продадени
7,А 706,100.20,14.38,114.58,3-стаен,Север/Запад,Продадени
7,А 707,61.11,8.77,69.88,2-стаен,Запад,Свободен
7,А 708,61.11,8.77,69.88,2-стаен,Запад,Свободен
7,А 709,61.11,8.77,69.88,2-стаен,Запад,Продадени
7,А 710,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
7,А 711,55.54,7.97,63.51,2-стаен,Юг,Свободен
7,А 712,38.46,5.52,43.98,Ателие,Юг,Свободен
8,А 801,54.38,7.80,62.18,2-стаен,Юг,Свободен
8,А 802,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
8,А 803,93.78,13.46,107.24,3-стаен,Изток,Свободен
8,А 804,59.36,8.52,67.88,2-стаен,Изток,Свободен
8,А 805,59.36,8.52,67.88,2-стаен,Север,Свободен
8,А 806,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
8,А 807,61.11,8.77,69.88,2-стаен,Запад,Свободен
8,А 808,61.11,8.77,69.88,2-стаен,Запад,Свободен
8,А 809,61.11,8.77,69.88,2-стаен,Запад,Свободен
8,А 810,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
8,А 811,55.54,7.97,63.51,2-стаен,Юг,Свободен
8,А 812,38.46,5.52,43.98,Ателие,Юг,Свободен
