Номер,Застроена,Идеални,Обща,Тип,Статус
Г-001,21.07,12.94,34.01,Гараж,Свободен
Г-002,21.07,12.94,34.01,Гараж,Свободен
Г-003,21.07,12.94,34.01,Гараж,Свободен
Г-004,21.07,12.94,34.01,Гараж,Свободен
Г-005,21.07,12.94,34.01,Гараж,Свободен
Г-006,21.07,12.94,34.01,Гараж,Свободен
Г-007,21.07,12.94,34.01,Гараж,Свободен
Г-008,21.07,12.94,34.01,Гараж,Свободен
Г-009,21.07,12.94,34.01,Гараж,Продадени
Г-010,21.07,12.94,34.01,Гараж,Продадени
Г-011,21.82,13.40,35.22,Гараж,Продадени
Г-012,26.39,16.21,42.60,Гараж,Свободен
Г-013,22.37,13.74,36.11,Гараж,Свободен
Г-014,28.24,17.34,45.58,Гараж,Свободен
Г-015,28.77,17.67,46.44,Гараж,Свободен
Г-016,33.85,20.80,54.65,Гараж,Свободен
Г-017,33.93,20.85,54.78,Гараж,Свободен
Г-018,24.31,14.93,39.24,Гараж,Свободен
Г-019,23.87,14.66,38.53,Гараж,Свободен
Г-020,23.87,14.66,38.53,Гараж,Свободен
Г-021,24.31,14.93,39.24,Гараж,Продадени
Г-022,33.93,20.85,54.78,Гараж,Свободен
Г-023,33.85,20.80,54.65,Гараж,Продадени
Г-024,28.77,17.67,46.44,Гараж,Свободен
Г-025,28.25,17.35,45.60,Гараж,Продадени
Г-026,22.37,13.74,36.11,Гараж,Продадени
Г-027,26.39,16.21,42.60,Гараж,Свободен
Г-028,21.82,13.40,35.22,Гараж,Продадени
Г-029,21.07,12.94,34.01,Гараж,Продадени
Г-030,21.07,12.94,34.01,Гараж,Продадени
Г-031,21.07,12.94,34.01,Гараж,Свободен
Г-032,21.07,12.94,34.01,Гараж,Свободен
Г-033,21.07,12.94,34.01,Гараж,Свободен
Г-034,21.07,12.94,34.01,Гараж,Свободен
Г-035,21.07,14.81,38.92,Гараж,Продадени
Г-036,27.24,11.55,30.35,Гараж,Продадени
Г-037,24.11,12.38,32.53,Гараж,Продадени
Г-038,18.80,12.15,31.94,Гараж,Свободен
Г-039,20.15,19.44,51.08,Гараж,Свободен
Г-040,19.79,19.91,52.32,Гараж,Продадени
Г-041,31.64,19.91,52.32,Гараж,Продадени
Г-042,32.41,19.44,51.08,Гараж,Свободен
Г-043,32.41,12.15,31.94,Гараж,Свободен
Г-044,31.64,12.38,32.53,Гараж,Свободен
Г-045,19.79,11.55,30.35,Гараж,Свободен
Г-046,20.15,14.81,38.92,Гараж,Свободен
Г-047,18.80,16.73,43.97,Гараж,Свободен
Г-048,24.11,12.94,34.01,Гараж,Свободен
Г-049,27.24,12.94,34.01,Гараж,Свободен
Г-050,21.07,12.94,34.01,Гараж,Свободен
Г-051,21.07,16.73,43.97,Гараж,Свободен
Г-052,21.07,12.94,34.01,Гараж,Свободен
Г-053,27.15,16.67,43.82,Гараж,Продадени
Г-054,18.80,11.55,30.35,Гараж,Продадени
Г-055,20.39,12.52,32.91,Гараж,Продадени
Г-056,20.39,12.52,32.91,Гараж,Продадени
Г-057,20.39,12.52,32.91,Гараж,Свободен
Г-058,20.39,12.52,32.91,Гараж,Свободен
Г-059,20.39,12.52,32.91,Гараж,Свободен
Г-060,24.76,15.21,39.97,Гараж,Свободен
Г-061,21.12,12.97,34.09,Гараж,Продадени
Г-062,20.39,12.52,32.91,Гараж,Продадени
Г-063,20.39,12.52,32.91,Гараж,Продадени
Г-064,20.39,12.52,32.91,Гараж,Продадени
Г-065,21.12,12.97,34.09,Гараж,Продадени
Г-066,21.12,12.97,34.09,Гараж,Свободен
Г-067,20.39,12.52,32.91,Гараж,Свободен
Г-068,20.39,12.52,32.91,Гараж,Свободен
Г-069,20.39,12.52,32.91,Гараж,Свободен
Г-070,20.39,12.52,32.91,Гараж,Свободен
Г-071,20.39,12.52,32.91,Гараж,Свободен
Г-072,20.39,12.52,32.91,Гараж,Свободен
Г-073,21.12,12.97,34.09,Гараж,Свободен
Г-074,21.12,12.97,34.09,Гараж,Свободен
Г-075,20.39,12.52,32.91,Гараж,Свободен
Г-076,20.39,12.52,32.91,Гараж,Свободен
Г-077,20.39,12.52,32.91,Гараж,Свободен
Г-078,21.12,12.97,34.09,Гараж,Свободен
Г-079,24.77,15.21,39.98,Гараж,Свободен
Г-080,20.39,12.52,32.91,Гараж,Свободен
Г-081,20.39,12.52,32.91,Гараж,Свободен
Г-082,20.39,12.52,32.91,Гараж,Свободен
Г-083,20.39,12.52,32.91,Гараж,Свободен
Г-084,20.39,12.52,32.91,Гараж,Свободен
Г-085,18.20,11.18,29.38,Гараж,Свободен
Г-086,22.46,13.79,36.25,Гараж,Свободен
Г-087,25.34,15.56,40.90,Гараж,Свободен
Г-088,20.39,12.52,32.91,Гараж,Свободен
Г-089,20.39,12.52,32.91,Гараж,Свободен
Г-090,20.39,12.52,32.91,Гараж,Свободен
Г-091,25.38,15.59,40.97,Гараж,Свободен
Г-092,25.38,15.59,40.97,Гараж,Свободен
Г-093,34.76,21.35,56.11,Гараж,Свободен
Г-094,34.76,21.35,56.11,Гараж,Свободен
Г-095,33.49,20.57,54.06,Гараж,Свободен
Г-096,33.49,20.57,54.06,Гараж,Свободен
Г-097,34.76,21.35,56.11,Гараж,Свободен
Г-098,34.13,20.96,55.09,Гараж,Свободен
Г-099,34.13,20.96,55.09,Гараж,Свободен
Г-100,34.76,21.35,56.11,Гараж,Свободен
Г-101,33.49,20.57,54.06,Гараж,Свободен
Г-102,33.49,20.57,54.06,Гараж,Продадени
Г-103,34.76,21.35,56.11,Гараж,Продадени
Г-104,34.76,21.35,56.11,Гараж,Продадени
Г-105,25.38,15.59,40.97,Гараж,Свободен
Г-106,25.38,15.59,40.97,Гараж,Продадени
Г-107,20.39,12.52,32.91,Гараж,Продадени
Г-108,20.39,12.52,32.91,Гараж,Продадени
Г-109,20.39,12.52,32.91,Гараж,Продадени
Г-110,26.44,16.24,42.68,Гараж,Свободен
Г-111,27.15,16.67,43.82,Гараж,Свободен
Г-112,18.64,11.45,30.09,Гараж,Свободен
Г-113,26.13,16.05,42.18,Гараж,Свободен
